Cost Center,Program Code,Grant,Budget,Big Bet,Priority Place,Country,,
CC450 Tigers & Big Cats,9Z140400 Jaguar Conservation,GR012532.01 Dior — Jaguar Conservation - Wildlife - 450,"4,772.92 ",Landscape,Amazon,,,
CC450 Tigers & Big Cats,9Z140202 Tiger Program Support,GR000011.01 Uncovered Salaries and Expenses,"193,170.52 ",Landscape,,,,
CC450 Tigers & Big Cats,9Z140271 Tigers - C2C Conflict 2 Coexistence,GR004376.04 Tiger Conflict Management - K. Bishop - 449 - 15.5%,"155,027.46 ",Landscape,,,,
CC450 Tigers & Big Cats,9Z140202 Tiger Program Support,GR0035B1.02 Discovery Communications Project CAT General,"124,271.20 ",Landscape,,,,
CC450 Tigers & Big Cats,44400000 Wildlife Trade,GR000011.01 Uncovered Salaries and Expenses,"29,231.68 ",Resilience,,,,
CC450 Tigers & Big Cats,9Z140202 Tiger Program Support,GR000320.02 Save the Tigers in the Wild - 450,"28,038.70 ",Landscape,,,,
CC450 Tigers & Big Cats,9Z140202 Tiger Program Support,GR000011.02 Restricted Coverage Identified,"26,851.16 ",Landscape,,,,
CC450 Tigers & Big Cats,9Z140202 Tiger Program Support,GR010532.01 Ferrara Candy for Tigers - 450,"17,719.86 ",Landscape,,,,
CC450 Tigers & Big Cats,9S075000 Snow Leopards,GR000011.01 Uncovered Salaries and Expenses,"11,913.20 ",Landscape,,,,
CC450 Tigers & Big Cats,44400000 Wildlife Trade,GR000011.02 Restricted Coverage Identified,"10,040.44 ",Resilience,,,,
CC450 Tigers & Big Cats,9S075000 Snow Leopards,GR000310.02 Help Rescue Species in Peril - 450,"6,419.12 ",Landscape,,,,
CC450 Tigers & Big Cats,9Z140271 Tigers - C2C Conflict 2 Coexistence,GR000320.02 Save the Tigers in the Wild - 450,"5,229.02 ",Landscape,,,,
CC450 Tigers & Big Cats,9Z140265 Tigers - Greater Mekong,GR000320.02 Save the Tigers in the Wild - 450,"1,120.50 ",Landscape,Greater Mekong,,,
CC451 Wildlife Trafficking,9Z240400 Online Trafficking Coalition,GR000345.01 Match L.H. Cybercrime Coalition Project - 451,"169,891.63 ",Resilience,,,,
CC451 Wildlife Trafficking,9Z227803 Ivory Demand Reduction,GR011771.12 Bequest Protect African Elephants and Habitats - Ivory Demand Reduction - 451 - 15.5%,"126,491.17 ",Resilience,,,,
CC451 Wildlife Trafficking,9Z227800 Demand Reduction,GR011334.02 Jewish Community Fdn - Myers - Demand Reduction - 451 - 15.5%,"118,630.62 ",Resilience,,,,
CC451 Wildlife Trafficking,45100000 Wildlife Crime and Trafficking General Support,GR000046.08 Wildlife Crime Bucket - Nature Crimes Alliance - 451 - 15.5%,"106,677.87 ",Resilience,,,,
CC451 Wildlife Trafficking,9Z239900 Ivory Trafficking,GR011771.03 Bequest - Ivory Trafficking Protection of Wild African Elephants and their habitats - cc451 - 15.15%,"94,833.46 ",Resilience,,,,
CC451 Wildlife Trafficking,9Z240400 Online Trafficking Coalition,GR000046.09 Wildlife Crime Bucket - Online Coalition & Congressional Campaign - 451 - 15.5%,"79,893.75 ",Resilience,,,,
CC451 Wildlife Trafficking,9Z227900 Trafficking,GR004362.02 Glassell - X-Ray Technology - cc451 - 15.5%,"78,909.12 ",Resilience,,,,
CC451 Wildlife Trafficking,45100000 Wildlife Crime and Trafficking General Support,GR000046.04 Wildlife Crime Bucket - US Enforcement and WWF Crime Hub- 451,"69,832.85 ",Resilience,,,,
CC451 Wildlife Trafficking,9Z240400 Online Trafficking Coalition,GR004362.01 African Pangolin and Online Trafficking - 451,"57,135.02 ",Resilience,,,,
CC451 Wildlife Trafficking,9Z227900 Trafficking,GR000046.10 Wildlife Crime Bucket - Wildlife Trafficking Autodetection Tech - 451 - 15.5%,"47,543.39 ",Resilience,,,,
CC451 Wildlife Trafficking,9Z210400 Wildlife Crime Technology,GR000046.10 Wildlife Crime Bucket - Wildlife Trafficking Autodetection Tech - 451 - 15.5%,"46,400.00 ",Resilience,,,,
CC451 Wildlife Trafficking,9Z227900 Trafficking,GR000338.01 TRAFFIC Restitution - 451,"45,107.32 ",Resilience,,,,
CC451 Wildlife Trafficking,45100000 Wildlife Crime and Trafficking General Support,GR000046.07 Wildlife Crime Bucket - Private Sector Transformation - 451 - 15.5%,"33,675.31 ",Resilience,,,,
CC451 Wildlife Trafficking,45100000 Wildlife Crime and Trafficking General Support,GR004815.06 Shawman Creek - Wildlife Trade - cc451 - 0%,"32,044.36 ",Resilience,,,,
CC451 Wildlife Trafficking,9Z227800 Demand Reduction,GR000046.12 Wildlife Crime Bucket - Demand Reduction Campaign Support - 451,"27,563.90 ",Resilience,,,,
CC451 Wildlife Trafficking,45100000 Wildlife Crime and Trafficking General Support,GR004807.01 Hendrickson Trust Restricted Gift for TRAFFIC - 451,"22,158.77 ",Resilience,,,,
CC451 Wildlife Trafficking,9Z227900 Trafficking,GR000046.11 Wildlife Crime Bucket - Exotic Pets - 451 - 15.5%,"15,000.00 ",Resilience,,,,
CC451 Wildlife Trafficking,9Z210400 Wildlife Crime Technology,GR000341.01 Wildlife Trend - 451,"14,683.48 ",Resilience,,,,
CC451 Wildlife Trafficking,45100000 Wildlife Crime and Trafficking General Support,GR000046.11 Wildlife Crime Bucket - Exotic Pets - 451 - 15.5%,"14,200.92 ",Resilience,,,,
CC451 Wildlife Trafficking,9Z240000 Sniffer Dogs,GR000046.10 Wildlife Crime Bucket - Wildlife Trafficking Autodetection Tech - 451 - 15.5%,"9,000.00 ",Resilience,,,,
CC451 Wildlife Trafficking,45100000 Wildlife Crime and Trafficking General Support,GR000331.01 Wildlife Trade - 451,"8,916.96 ",Resilience,,,,
CC451 Wildlife Trafficking,9Z210400 Wildlife Crime Technology,GR000046.04 Wildlife Crime Bucket - US Enforcement and WWF Crime Hub- 451,"6,500.00 ",Resilience,,,,
CC451 Wildlife Trafficking,45100000 Wildlife Crime and Trafficking General Support,GR000345.01 Match L.H. Cybercrime Coalition Project - 451,"6,120.07 ",Resilience,,,,
CC451 Wildlife Trafficking,9Z239800 Tiger Trafficking,GR000320.01 Online Tiger Trafficking - 451,"4,282.40 ",Resilience,,,,
CC451 Wildlife Trafficking,45100000 Wildlife Crime and Trafficking General Support,GR000328.01 Traffic General Support - 451,"2,164.49 ",Resilience,,,,
CC452 People and Conservation,9Z138500 CARE Partnership,GR004950.15 Ubbens - CARE - 452,"248,153.16 ",Resilience,,Kenya,,
CC452 People and Conservation,9Z138500 CARE Partnership,GR000011.01 Uncovered Salaries and Expenses,"150,940.46 ",Resilience,,Kenya,,
CC453 Conservation Finance,45300000 Sustainable Finance,GR000011.02 Restricted Coverage Identified,"624,950.79 ",Finance,,,,
CC453 Conservation Finance,45300000 Sustainable Finance,GR000011.01 Uncovered Salaries and Expenses,"55,000.00 ",Finance,,,,
CC461 Science and Innovation,9Z130820 Fuller Fund - Program Management,GR000011.02 Restricted Coverage Identified,"144,697.43 ",Other,,,,
CC461 Science and Innovation,9Z130820 Fuller Fund - Program Management,GR000011.01 Uncovered Salaries and Expenses,"99,710.25 ",Other,,,,
CC461 Science and Innovation,9Z130820 Fuller Fund - Program Management,GR004871.01 Fuller TRUST - 461,"99,591.42 ",Other,,,,
CC461 Science and Innovation,9Z130823 Fuller Fund - Symposium,GR000011.02 Restricted Coverage Identified,"43,290.00 ",Other,,,,
CC461 Science and Innovation,9Z130824 Fuller Fund - Seminars,GR000011.01 Uncovered Salaries and Expenses,"10,000.00 ",Other,,,,
CC461 Science and Innovation,9Z130824 Fuller Fund - Seminars,GR004871.01 Fuller TRUST - 461,"8,706.00 ",Other,,,,
CC461 Science and Innovation,9Z130800 Science General-Science,GR000011.01 Uncovered Salaries and Expenses,"666,418.88 ",Other,,,,
CC461 Science and Innovation,9Z130814 Global Science Lead for Data Analytics and Technology,GR000011.01 Uncovered Salaries and Expenses,"512,743.20 ",Other,,,,
CC461 Science and Innovation,9Z130802 Science General - SVP,GR000011.01 Uncovered Salaries and Expenses,"484,816.72 ",Other,,,,
CC461 Science and Innovation,BEF00009 Bezos – Coordination,GR010444.03 Bezos Earth Fund Science - 461,"258,680.06 ",Other,,,,
CC461 Science and Innovation,9Z133900 Global Library,GR000011.02 Restricted Coverage Identified,"210,000.00 ",Other,,,,
CC461 Science and Innovation,9Z130812 Global Science Lead for Conservation Evidence,GR000011.01 Uncovered Salaries and Expenses,"182,338.48 ",Other,,,,
CC461 Science and Innovation,9Z130812 Global Science Lead for Conservation Evidence,GR011767.01 MACP Design for People and Nature - 461 15%,"157,981.75 ",Other,,,,
CC461 Science and Innovation,9Z130814 Global Science Lead for Data Analytics and Technology,GR000011.02 Restricted Coverage Identified,"150,532.10 ",Other,,,,
CC461 Science and Innovation,9Z130800 Science General-Science,GR000011.02 Restricted Coverage Identified,"76,347.08 ",Other,,,,
CC461 Science and Innovation,9Z130701 Natural Capital - Science,GR000011.01 Uncovered Salaries and Expenses,"53,099.64 ",Other,,,,
CC461 Science and Innovation,9Z130701 Natural Capital - Science,GR000011.02 Restricted Coverage Identified,"51,840.09 ",Other,,,,
CC461 Science and Innovation,9Z130810 Conservation Dashboard,GR000011.01 Uncovered Salaries and Expenses,"30,000.00 ",Other,,,,
CC461 Science and Innovation,9Z130701 Natural Capital - Science,GR000210.01 Nat Cap Conservation Science - 461,"1,731.60 ",Other,,,,
CC465 EFN - Education For Nature,9Z132500 EFN General,GR000165.01 EFN Endowment Payout - 465,"818,998.18 ",Other,,,,
CC465 EFN - Education For Nature,9Z132700 Scholarship & Fellowships,GR012022.01 Trudy Fellows Education for Nature Program - CC465,"752,410.00 ",Other,,,,
CC465 EFN - Education For Nature,9Z132700 Scholarship & Fellowships,GR000165.01 EFN Endowment Payout - 465,"618,812.47 ",Other,,,,
CC465 EFN - Education For Nature,9Z132700 Scholarship & Fellowships,GR012653.01 World Bank - Funding of the Fonseca Leadership Program - CC465,"261,085.24 ",Other,,,,
CC465 EFN - Education For Nature,9Z132805 EFN Conservation Workshop Grants,GR003304.01 Education for Nature: Tropical Forest Restoration and Reforestation 2015-2016 - 465,"58,606.91 ",Other,,,,
CC465 EFN - Education For Nature,9Z133100 EFN Alumni Program,GR000153.01 EFN Operating Fund - 465,"55,650.47 ",Other,,,,
CC465 EFN - Education For Nature,9Z132500 EFN General,GR000153.01 EFN Operating Fund - 465,"53,000.00 ",Other,,,,
CC465 EFN - Education For Nature,9Z132500 EFN General,GR010974.01 Bingham EFN/ESSF Capacity Building - 465,"45,000.00 ",Other,,,,
CC465 EFN - Education For Nature,9Z132700 Scholarship & Fellowships,GR004375.01 WWF Train Fellowship at MSU - 465,"44,864.04 ",Other,,,,
CC465 EFN - Education For Nature,9Z132700 Scholarship & Fellowships,GR010460.01 Caroline Goldman Cassagnol Fellows Endowment - 465,"29,423.39 ",Other,,,,
CC465 EFN - Education For Nature,9Z132700 Scholarship & Fellowships,GR004256.01 $2.5 million matching gift for EFN/Train Legacy - 465,"28,452.06 ",Other,,,,
CC465 EFN - Education For Nature,9Z132805 EFN Conservation Workshop Grants,GR012865.01 EFN-Tropical Forest Reforestation and Restoration - CC465,"26,742.29 ",Other,,,,
CC465 EFN - Education For Nature,9Z132700 Scholarship & Fellowships,GR004383.01 Lincoln University Mingma Sherpa Memorial Scholarships - 465,"22,164.51 ",Other,,,,
CC465 EFN - Education For Nature,9Z133100 EFN Alumni Program,GR004815.03 Shaman Creek payout - annual - 465,"21,997.50 ",Other,,,,
CC465 EFN - Education For Nature,9Z132700 Scholarship & Fellowships,GR000160.01 Train Legacy Fund - 465,"21,278.47 ",Other,,,,
CC465 EFN - Education For Nature,9Z132500 EFN General,GR012653.01 World Bank - Funding of the Fonseca Leadership Program - CC465,"21,000.00 ",Other,,,,
CC465 EFN - Education For Nature,9Z133100 EFN Alumni Program,GR004891.01 Kenneth Jay Suid & David Brannon Memorial Fund - 465,"18,566.51 ",Other,,,,
CC468 Global Science Leadership,9Z130806 Global Science Lead for Biodiversity,GR000011.02 Restricted Coverage Identified,"542,378.98 ",Other,,,,
CC468 Global Science Leadership,9Z130804 Global Science Lead for Freshwater,GR000011.01 Uncovered Salaries and Expenses,"157,592.72 ",Other,,,,
CC468 Global Science Leadership,9Z130805 Global Science Lead for Oceans,GR000011.02 Restricted Coverage Identified,"154,750.00 ",Other,,,,
CC468 Global Science Leadership,9Z130807 Global Science Lead for Climate,GR000011.02 Restricted Coverage Identified,"150,567.14 ",Other,,,,
CC468 Global Science Leadership,9Z130804 Global Science Lead for Freshwater,GR000011.02 Restricted Coverage Identified,"149,349.93 ",Other,,,,
CC468 Global Science Leadership,9Z130808 Global Science Lead for Forests,GR000011.02 Restricted Coverage Identified,"149,294.40 ",Other,,,,
CC468 Global Science Leadership,9Z130809 Global Science Lead for Food,GR000011.02 Restricted Coverage Identified,"148,760.53 ",Other,,,,
CC468 Global Science Leadership,9Z130808 Global Science Lead for Forests,GR000011.01 Uncovered Salaries and Expenses,"138,012.18 ",Other,,,,
CC468 Global Science Leadership,9Z130809 Global Science Lead for Food,GR000011.01 Uncovered Salaries and Expenses,"130,386.47 ",Other,,,,
CC468 Global Science Leadership,9Z130805 Global Science Lead for Oceans,GR000011.01 Uncovered Salaries and Expenses,"129,750.00 ",Other,,,,
CC468 Global Science Leadership,9Z130807 Global Science Lead for Climate,GR000011.01 Uncovered Salaries and Expenses,"102,146.52 ",Other,,,,
CC468 Global Science Leadership,9Z130800 Science General-Science,GR000011.02 Restricted Coverage Identified,"50,709.31 ",Other,,,,
CC468 Global Science Leadership,9Z130805 Global Science Lead for Oceans,GR012261.01 Blue Nature Alliance CI Social Equity Metrics Project - 468,"50,696.47 ",Other,,,,
CC468 Global Science Leadership,9Z130802 Science General - SVP,GR000011.02 Restricted Coverage Identified,"45,439.33 ",Other,,,,
CC468 Global Science Leadership,9Z130806 Global Science Lead for Biodiversity,GR000011.01 Uncovered Salaries and Expenses,"43,819.16 ",Other,,,,
CC468 Global Science Leadership,BEF00009 Bezos – Coordination,GR010444.05 Bezos Earth Fund Science Leads - 468,"40,494.30 ",Other,,,,
CC468 Global Science Leadership,9Z130814 Global Science Lead for Data Analytics and Technology,GR000011.02 Restricted Coverage Identified,"31,734.38 ",Other,,,,
CC468 Global Science Leadership,9Z130812 Global Science Lead for Conservation Evidence,GR000011.02 Restricted Coverage Identified,"20,724.20 ",Other,,,,
CC468 Global Science Leadership,9Z130807 Global Science Lead for Climate,GR000038.01 Board Payout FY17-19,"15,824.60 ",Other,,,,
CC468 Global Science Leadership,9Z130806 Global Science Lead for Biodiversity,GR000038.01 Board Payout FY17-19,"15,817.92 ",Other,,,,
CC468 Global Science Leadership,9Z130804 Global Science Lead for Freshwater,GR000038.01 Board Payout FY17-19,"15,674.15 ",Other,,,,
CC468 Global Science Leadership,9Z130808 Global Science Lead for Forests,GR000038.01 Board Payout FY17-19,"15,667.12 ",Other,,,,
CC470 General Food,US087000 Pollinators & Pesticides,GR012854.02 Grantham- Neonicotinoid Pesticides - 470,"99,151.80 ",Other,,,,
CC470 General Food,47000001 Private Sector Supply Chain,GR012877.01 TBI - Marginal Lands - cc470,"92,690.17 ",Private Sector ,,,,
CC470 General Food,US204900 Food Program Management,GR012877.01 TBI - Marginal Lands - cc470,"79,103.35 ",Resilience,,,,
CC473 Blue Finance,9L080310 Oceans Markets,GR013006.01 Walton - Seafood Investor Traceability Engagement CC473,"480,197.86 ",Finance,,,,
CC473 Blue Finance,9L080310 Oceans Markets,GR000011.01 Uncovered Salaries and Expenses,"275,303.99 ",Finance,,,,
CC473 Blue Finance,9L080309 Seafood Markets,GR003514.09 Seafood Markets Support for Blue Finance CC473,"45,000.00 ",Finance,,,,
CC473 Blue Finance,9L080309 Seafood Markets,GR000011.01 Uncovered Salaries and Expenses,"37,292.69 ",Finance,,,,
CC473 Blue Finance,9L080310 Oceans Markets,GR000011.02 Restricted Coverage Identified,"31,928.66 ",Finance,,,,
CC473 Blue Finance,9L080310 Oceans Markets,GR003514.09 Seafood Markets Support for Blue Finance CC473,"20,000.00 ",Finance,,,,
CC473 Blue Finance,9L080309 Seafood Markets,GR000011.02 Restricted Coverage Identified,"7,458.54 ",Finance,,,,
CC474 Oceans Markets,ID020203 Coastal Ecosystem Conserved Areas,GR012189.02 Enabling and Scaling Up Nature-Related Financial Disclosures - UNDP - IPA- CC474 Ocean,"3,711.07 ",Landscape,,,,
CC474 Oceans Markets,9L080310 Oceans Markets,GR000011.01 Uncovered Salaries and Expenses,"163,305.89 ",Private Sector ,,,,
CC474 Oceans Markets,9Z127808 Arctic shipping,GR000011.01 Uncovered Salaries and Expenses,"103,033.87 ",Other,Arctic ,,,
CC474 Oceans Markets,9L080310 Oceans Markets,GR011506.01 Royal Caribbean Global Oceans Conservation - Phase II - 474,"46,875.25 ",Private Sector ,,,,
CC474 Oceans Markets,9L080310 Oceans Markets,GR012773.01 Mary Diorio - Offshore Wind CC474,"33,000.00 ",Infrastructure,,,,
CC474 Oceans Markets,12189003 Awareness Raising,GR012189.02 Enabling and Scaling Up Nature-Related Financial Disclosures - UNDP - IPA- CC474 Ocean,"30,883.69 ",Private Sector ,,,,
CC474 Oceans Markets,9Z127808 Arctic shipping,GR000011.02 Restricted Coverage Identified,"14,021.84 ",Other,Arctic ,,,
CC474 Oceans Markets,9L080310 Oceans Markets,GR012189.02 Enabling and Scaling Up Nature-Related Financial Disclosures - UNDP - IPA- CC474 Ocean,"13,000.00 ",Private Sector ,,,,
CC475 F&F Transformation,47000001 Private Sector Supply Chain,GR013365.01 Chobani Commodity Prioritization Assessment 2.0 CC475 15.5%,"18,000.16 ",Private Sector ,,,,
CC475 F&F Transformation,47000001 Private Sector Supply Chain,GR013201.01 Aldi AgSupply Chain CC475 15.5%,"11,656.96 ",Private Sector ,,,,
CC475 F&F Transformation,47000001 Private Sector Supply Chain,GR012253.03 YUM - LUCI Workstream - CC475,"3,574.50 ",Private Sector ,,,,
CC480 CMI,48000020 CFA Management Unit Ph 6,GR012231.02 Moore CMI 2.0 CC480 12.5%,"696,787.89 ",Private Sector ,,,,
CC480 CMI,48000020 CFA Management Unit Ph 4,GR000011.01 Uncovered Salaries and Expenses,"506,598.02 ",Private Sector ,,,,
CC480 CMI,48000020 CFA Management Unit Ph 7,GR012294.02 Moore - Cross Cutting CC480 12.5%,"257,582.84 ",Private Sector ,,,,
CC480 CMI,12294001 Outcome 1 - Carbon in supply chain,GR012294.01 Moore - Cross Cutting CC480 0%,"245,000.00 ",Private Sector ,,,,
CC480 CMI,12231002 Outcome 2 - Leather,GR012231.01 Moore CMI 2.0 CC480 0%,"198,710.00 ",Private Sector ,,,,
CC480 CMI,12231003 Outcome 3 - Pre-Competitive Hubs,GR012231.01 Moore CMI 2.0 CC480 0%,"110,000.00 ",Private Sector ,,,,
CC480 CMI,12294002 Outcome 2 - 1% Levy Environmental Services,GR012294.02 Moore - Cross Cutting CC480 12.5%,"42,896.40 ",Private Sector ,,,,
CC480 CMI,12231003 Outcome 3 - Pre-Competitive Hubs,GR012231.02 Moore CMI 2.0 CC480 12.5%,"31,000.00 ",Private Sector ,,,,
CC480 CMI,12231002 Outcome 2 - Leather,GR012231.02 Moore CMI 2.0 CC480 12.5%,"27,825.55 ",Private Sector ,,,,
CC480 CMI,12294001 Outcome 1 - Carbon in supply chain,GR012294.02 Moore - Cross Cutting CC480 12.5%,"24,000.00 ",Private Sector ,,,,
CC480 CMI,12231001 Outcome 1 - Soy,GR012231.02 Moore CMI 2.0 CC480 12.5%,"10,500.00 ",Private Sector ,,,,
CC480 CMI,48000020 CFA Management Unit Ph 5,GR000011.02 Restricted Coverage Identified,"6,482.74 ",Private Sector ,,,,
CC482 Aquaculture,9Z127620 Seaweed Aquaculture,GR012855.01 Grantham - Seaweed Strain Selection - CC482,"847,134.38 ",Private Sector ,,,,
CC482 Aquaculture,9Z127620 Seaweed Aquaculture,GR012560.01 TBI - Accelerating Maine Seaweed and Shellfish - CC482,"460,327.57 ",Private Sector ,,,,
CC482 Aquaculture,48000416 Seaweed Gates - Africa,GR012757.01 Gates Fdn - Seaweed as Feed - CC482,"398,000.00 ",Private Sector ,,,,
CC482 Aquaculture,9Z127620 Seaweed Aquaculture,GR012757.01 Gates Fdn - Seaweed as Feed - CC482,"130,811.81 ",Private Sector ,,,,
CC482 Aquaculture,9Z235700 OSMI - Food,GR012678.01 Moore Fdn - STF- C-Free Shrimp Off Ramp- 12.5% - CC482,"107,904.37 ",Private Sector ,,,,
CC482 Aquaculture,48000413 Seaweed - Social Science,GR012560.01 TBI - Accelerating Maine Seaweed and Shellfish - CC482,"55,058.84 ",Private Sector ,,,,
CC482 Aquaculture,47000001 Private Sector Supply Chain,GR012757.01 Gates Fdn - Seaweed as Feed - CC482,"39,817.23 ",Private Sector ,,,,
CC482 Aquaculture,9Z235700 OSMI - Food,GR000011.01 Uncovered Salaries and Expenses,"35,398.31 ",Private Sector ,,,,
CC482 Aquaculture,48000415 Seaweed Gates - India,GR012757.01 Gates Fdn - Seaweed as Feed - CC482,"32,296.00 ",Private Sector ,,,,
CC482 Aquaculture,9Z127620 Seaweed Aquaculture,GR004386.01 Grantham Advancing Seaweed for Climate Change - 482,"29,523.00 ",Private Sector ,,,,
CC482 Aquaculture,GT300120 Sustainable Aquaculture,GR000011.01 Uncovered Salaries and Expenses,"21,641.16 ",Private Sector ,,,,
CC482 Aquaculture,9Z235700 OSMI - Food,GR012678.03 Moore Fdn - Off Ramp Shrimp INTEREST ONLY- CC482,"5,900.59 ",Private Sector ,,,,
CC483 Beef,47000001 Private Sector Supply Chain,GR012272.01 USDA Traceable Beef for Climate and Conservation - 483,"371,539.42 ",Private Sector ,,,,
CC483 Beef,47000001 Private Sector Supply Chain,GR000011.01 Uncovered Salaries and Expenses,"117,960.21 ",Private Sector ,,,,
CC485 Seafood Markets,9L080309 Seafood Markets,GR011419.04 Sall - Chilean Seascapes - 485,"55,217.49 ",Landscape,Eastern Pacific ,Chile,,
CC485 Seafood Markets,9Z127211 Vietnam Yellowfin Tuna,GR000011.02 Restricted Coverage Identified,"17,581.50 ",Resilience,,,,
CC485 Seafood Markets,9L080309 Seafood Markets,GR000011.01 Uncovered Salaries and Expenses,"466,967.96 ",Private Sector ,,,,
CC485 Seafood Markets,9L080309 Seafood Markets,GR010768.01 Mars Seafood Sourcing - 485,"170,000.00 ",Private Sector ,,,,
CC485 Seafood Markets,9L080309 Seafood Markets,GR003528.02 Sustainability in Seafood Supply Chain (2016-2020) - 485,"135,227.49 ",Private Sector ,,,,
CC485 Seafood Markets,9L080309 Seafood Markets,GR003289.02 Sustainable Seafood 2016-2020 - 485,"85,100.00 ",Private Sector ,,,,
CC485 Seafood Markets,9L080309 Seafood Markets,GR003464.03 Hilton Seafood (Year 1 of 3) - 485,"57,652.15 ",Private Sector ,,,,
CC485 Seafood Markets,9L080309 Seafood Markets,GR003474.03 Costco Seafood - 485,"50,000.00 ",Private Sector ,,,,
CC485 Seafood Markets,9L080309 Seafood Markets,GR000011.02 Restricted Coverage Identified,"47,406.63 ",Private Sector ,,,,
CC490 TNRC Targeting Natural Resource Corruption,9Z229000 Targeting Natural Resource Corruption-Wildlife2,"GR013087.01 Transparency International Co-Coordinator, CECCP Forum-CC490","46,310.83 ",Resilience,,,,
CC495 F&F Transformation (FW),44200070 Pantanal,GR000011.01 Uncovered Salaries and Expenses,"18,446.40 ",Resilience,,,,
CC495 F&F Transformation (FW),44200020 Corporate Water Stewardship - General,GR000011.02 Restricted Coverage Identified,"241,586.52 ",Private Sector ,,,,
CC495 F&F Transformation (FW),44200020 Corporate Water Stewardship - General,GR000011.01 Uncovered Salaries and Expenses,"163,437.19 ",Private Sector ,,,,
CC495 F&F Transformation (FW),44200020 Corporate Water Stewardship - General,GR012828.01 Inditex/WWF INT - Coordination – Inditex Transformational Partnership - Payal L. CC495,"58,272.89 ",Private Sector ,,,,
CC495 F&F Transformation (FW),44200020 Corporate Water Stewardship - General,GR011105.02 TCCC-Global Partnership - CC 495,"54,420.70 ",Private Sector ,,,,
CC495 F&F Transformation (FW),44200020 Corporate Water Stewardship - General,GR013208.01 Risk Assessment and Pilot Environmental Sustainability Strategy Support - ALDI - cc495 - 15.5%,"39,275.86 ",Private Sector ,,,,
CC495 F&F Transformation (FW),44200020 Corporate Water Stewardship - General,GR013157.01 McDonald — Sustainability in the Supply Chain and Business Operations - Freshwater - CWS - cc495 - 15.5%,"35,000.00 ",Private Sector ,,,,
CC495 F&F Transformation (FW),44200020 Corporate Water Stewardship - General,GR011656.01 Finish Brand - Journey of Water in RGRB,"7,437.15 ",Private Sector ,,,,
CC496 Freshwater Science,44200041 Connected Rivers of Resilience - General,GR011424.03 GEF Sustainable Luangwa - CC496,"1,039,428.52 ",Resilience,Southern Africa,,,
CC496 Freshwater Science,44200041 Connected Rivers of Resilience - General,GR000011.01 Uncovered Salaries and Expenses,"454,136.51 ",Resilience,Southern Africa,,,
CC496 Freshwater Science,44200041 Connected Rivers of Resilience - General,GR000011.02 Restricted Coverage Identified,"48,750.11 ",Resilience,Southern Africa,,,
CC496 Freshwater Science,44200020 Corporate Water Stewardship - General,GR012972.01 Walton Family Fdtn - Phase II - CC496 - 15%,"412,196.96 ",Private Sector ,,,,
CC496 Freshwater Science,44200020 Corporate Water Stewardship - General,GR012972.02 Walton Family Fdtn - Phase II - CC496 - 0%,"170,000.00 ",Private Sector ,,,,
CC496 Freshwater Science,44200020 Corporate Water Stewardship - General,GR000011.01 Uncovered Salaries and Expenses,"90,941.84 ",Private Sector ,,,,
CC496 Freshwater Science,44200020 Corporate Water Stewardship - General,GR000011.02 Restricted Coverage Identified,"16,272.24 ",Private Sector ,,,,
CC497 Freshwater Rivers,44200041 Connected Rivers of Resilience - General,GR013239.01 TCCF - Aqua Revival in Portugal - CC497,"9,189.84 ",Resilience,,Portugal,,
CC497 Freshwater Rivers,44200041 Connected Rivers of Resilience - General,GR012052.01 TCCF - Recharge Pakistan - CC497,"700,000.00 ",Resilience,,Pakistan,,
CC497 Freshwater Rivers,44200041 Connected Rivers of Resilience - General,GR010678.02 Recharge Pakistan GCF - CC497,"150,359.75 ",Resilience,,Pakistan,,
CC497 Freshwater Rivers,44200020 Corporate Water Stewardship - General,GR013239.01 TCCF - Aqua Revival in Portugal - CC497,"5,547.93 ",Private Sector ,,,,
CC498 Governance & Finance,44200070 Pantanal,GR000011.01 Uncovered Salaries and Expenses,"224,847.70 ",Resilience,,,,
CC498 Governance & Finance,44200060 Restoring the Rio Grande/Rio Bravo,GR012334.01 USBR - Water Management in RGRB - cc498,"152,526.09 ",Resilience,Great Plains ,,,
CC498 Governance & Finance,44200060 Restoring the Rio Grande/Rio Bravo,GR000011.01 Uncovered Salaries and Expenses,"94,516.92 ",Resilience,Great Plains ,,,
CC498 Governance & Finance,44200061 Cost Share for USBR Project,GR000011.01 Uncovered Salaries and Expenses,"24,095.73 ",Resilience,Great Plains ,,,
CC498 Governance & Finance,44200070 Pantanal,GR000011.02 Restricted Coverage Identified,"7,554.35 ",Resilience,,,,
CC498 Governance & Finance,44200060 Restoring the Rio Grande/Rio Bravo,GR000011.02 Restricted Coverage Identified,"3,245.22 ",Resilience,Great Plains ,,,
CC498 Governance & Finance,44200071 Transboundary Governance & Sustainable Finance - General,GR000011.01 Uncovered Salaries and Expenses,"27,714.87 ",Infrastructure,,,,
CC498 Governance & Finance,44200020 Corporate Water Stewardship - General,GR012334.01 USBR - Water Management in RGRB - cc498,"32,147.92 ",Private Sector ,,,,
CC505 Oceans Core,BEF00004 Bezos – PFP – Belize,GR000011.02 Restricted Coverage Identified,"45,034.91 ",Landscape,,Belize ,,
CC505 Oceans Core,PRGMCORE Program Core,GR000001.02 Goal Core Allocation - Unrestricted,"625,660.84 ",Resilience,,,,
